Ключ;Значение
САМ;стационарная авиационная мастерская
САУ;самоходная артиллерийская установка
СБ;стратегические бомбардировщики
СВ;сухопутные войска
СВАГ;Советская военная администрация в Германии
СВГК;Ставка Верховного Главнокомандования
СВР;служба внешней разведки
СГА;Северная группа армий
СГВ;Северная группа войск
СД;(нем.) служба безопасности
СЗФ;Северо-Западный фронт
СК-5;завод синтетического каучука N 5
СКА;управление связи Красной Армии
СКВО;Северо-Кавказский военный округ
СКФ;Северо-Кавказский фронт
СМЕРШ,;«Смерш» военная контрразведка
СНИС;служба наблюдения и связи
СНК;Совет народных комиссаров
Совнарком;Совет Народных Комиссаров
СНХ;Совет народного хозяйства
совнархоз;Совет народного хозяйства
СОБР;сводный отряд быстрого реагирования
СОВЧК;Секретный отдел ВЧК
СОО;секретный особый отдел
СО;секретный отдел
СОР;Севастопольский оборонительный район
СОТ;скрывающаяся огневая точка
СОЧ;секретно-оперативная часть губернского отдела ГПУ
СП;Свод постановлений
СПАМ;сборный пункт аварийных машин
СПУ;НКВД секретно-политическое управление НКВД
СС;станция снабжения
СССР;Союз Советских Социалистических Республик
СТК;Союз трудового крестьянства
СУ;самоходная установка
СФ;Северный флот
СЭГ;сортировочный эвакогоспиталь
Сельком;сельский комитет
СибВО;Сибирский военный округ
Совдеп;Совет депутатов
Совобороны;Совет обороны
Соворганы;органы Советской власти
Сокотакра;Союз кооперативов Тамбовского края
СпН;специального назначения
СтВО;Сталинградский военный округ
Стр.;стрелковый
ТА;танковая армия
ТАОН;тяжелая артиллерия особого назначения
ТАСС;Телеграфное агентство Советского Союза
ТБ;тяжелый бомбардировщик
ТВД;театр военных действий
ТВЛ;ветлазарет для трофейных лошадей
ТИ;танковый институт
ТИИ;танковый инженерный институт
ТКА;торпедный катер
ТО;НКВД транспортный отдел НКВД
ТОВМИ;Тихоокеанский военно-морской институт
ТОДТ;(нем.) военизированная строительная организация
ТОС;техника особой секретности
ТОФ;Тихоокеанский флот
ТР;транспорт (морской)
ТРАОН;траншейная артиллерия особого назначения
ТУ;НКВД транспортное управление НКВД
ТЩ;тральщик
УПС;управление (начальника) военно-полевого строительства
Упродснаб;управление продовольственного снабжения
УА;ударная армия
уд._А;ударная армия
УАДС;Управление автотранспортной и дорожной службы
УАС;Управление аэродромного строительства
УБТСиР;Управление бронетанкового снабжения и ремонта
УВВР;Управление военно-восстановительных работ
УВВС;Управление Военно-воздушных сил
УВПС;управление (начальника) военно-полевого строительства
УНС;управление (начальника) военно-полевого строительства
УВРС;Управление военно-строительных работ
УВУЗ;Управление военно-учебных заведений
УГМР;управление государственных (материальных) резервов
УГР;управление государственных (материальных) резервов
УЗПСВ;Управление заказов и производства стрелкового вооружения
УЗТМ;Уральский завод тяжелого машиностроения
УИС;Управление интендантской службы
УК;Уголовный кодекс
УКА;Управление командующего артиллерией
УКАРТ;управление командира артиллерией
УКМК;Управление коменданта Московского Кремля
УНКВД_МО;Управление НКВД по г. Москве и Московской области
УНКВД;управление НКВД
УОО;НКВД СССР Управление особых отделов НКВД СССР
УОС;управление оборонительного строительства
УПВОСО;Управление военных сообщений
УПК;Уголовно-процессуальный кодекс
УР;укрепленный район
УС;узел связи
